e,identifier,filename,youtubeid,vimeoid,title,,english_title,,date,,duration,format,type,director,producer,production_company,writer,cast,director_of_photography,editor,music,set_design,sound,camera,construction,narrator,contributors,image_restoration,audio_restoration,holding_institution,description,,notes,subject,presentation_title,presenter,presenter_affiliation,,,,,,,location,latitude,longitude,rights,rightsstatement
44,44,,,,"Sjósetning [Launch] (Þóra Kristjóns, ca. 1970-78)",,,,1970-78,,,8mm; color; silent,,,,,,,,,,,,,,,,,,Icelandic Home Movie Collective; Technical Museum of East Iceland,,,Music added 2023,Orphan Film Symposium 2024: Work and Play,"Sjósetning [Launch] (Þóra Kristjóns, ca. 1970-78)",Sigga  Sigurthorsdottir,Icelandic Home Movie Collective,,,,,,,Museum of the Moving Image,,,,
45,45,,,vimeo.com/767513055,Floating Relics,,,,2022,,7 min,MP4; color; sound,,Christina Dovolis; Cléo Sallis-Parchet,,Jacobs Studio,,"Gloria Jacobs; Mindelle Jacobs; Sonia Jacobs; Brooke Jacobs
",Jharol Mendoza,Christina Dovolis,Kai Mikkelsen; Elizabeth Dovolis,,Jennifer Laiwint,,,,Michael Miroshnik: Technical Advisor,,,Christina Dovolis and Cléo Sallis-Parchet,Archival Footage by Robert Jacobs,,,Orphan Film Symposium 2024: Work and Play,Floating Relics,Christina Dovolis,York University,,,,,,,Museum of the Moving Image,,,,
46,46,,,,Mellanrum,,Gap,,1985,,9 min,"Super 8mm; color; sound
",,Zhang Zhen; Ingela Lundholm,,,,Wang Jean; Day Freja,,,,,,,,,,Jenny Hsu; Momo Li,,Zhang Zhen,,,,Orphan Film Symposium 2024: Work and Play,"Making and Revisiting Zhang's Student Film, Mellanrum",Zhang Zhen; Jenny Hsu; Momo Li,New York University,,,,,,,Museum of the Moving Image,,,,
47,47,,,,Wilkins Commercial and Outtakes,,,,1957-1961,,1 min.,MOV; b&w; sound,,,,Jim Henson; The Jim Henson Company,,,,,,,,,,,,,,,,,,Orphan Film Symposium 2024: Work and Play,"Work Is Play: Rarities from The Jim Henson Legacy & Jim Henson Company Collections  
",Karen Falk; Craig Shemin,Jim Henson Company Collections  ,,,,,,,Museum of the Moving Image,,,,
48,48,,,,La Choy Presentation ,,,,1965,,6 min,MOV; b&w; sound,,,,Jim Henson; The Jim Henson Company,,,,,,,,,,,,,,,,,,Orphan Film Symposium 2024: Work and Play,"Work Is Play: Rarities from The Jim Henson Legacy & Jim Henson Company Collections  
",Karen Falk; Craig Shemin,Jim Henson Company Collections  ,,,,,,,Museum of the Moving Image,,,,
49,49,,,,Ernie and Bert Ad Lib Interview,,,,1986,,3 min.,MOV; color; sound,,,,Jim Henson; The Jim Henson Company,,,,,,,,,,,,,,,,,,Orphan Film Symposium 2024: Work and Play,"Work Is Play: Rarities from The Jim Henson Legacy & Jim Henson Company Collections  
",Karen Falk; Craig Shemin,Jim Henson Company Collections  ,,,,,,,Museum of the Moving Image,,,,
50,50,,,,Caroll Spinney Home Movies,,,,1987,,2 min.,"MOV; color; sound
",,Caroll Spinney,,,,,,,,,,,,,,,,,,,,Orphan Film Symposium 2024: Work and Play,"Work Is Play: Rarities from The Jim Henson Legacy & Jim Henson Company Collections  
",Karen Falk; Craig Shemin,Jim Henson Company Collections  ,,,,,,,Museum of the Moving Image,,,,
51,51,,,,Run Run,,,,1965,,5 min.,"MOV; color; sound
",,Jim Henson,,Jim Henson; Muppets Inc.,,Lisa Henson; Chery Henson; Jane Henson,Jim Henson; Frank Oz,Virginia Carteaux,Joe Raposo,,,Jim Henson; Frank Oz,,,,,,,,,,Orphan Film Symposium 2024: Work and Play,"Work Is Play: Rarities from The Jim Henson Legacy & Jim Henson Company Collections  
",Karen Falk; Craig Shemin,Jim Henson Company Collections  ,,,,,,,Museum of the Moving Image,,,,
52,52,,,,Charlie Magnetico (AT&T Industrial),,,,1963,,7 min,"MOV; color; sound
",,,,,,,,,,,,,,,,,,,,,,Orphan Film Symposium 2024: Work and Play,"Work Is Play: Rarities from The Jim Henson Legacy & Jim Henson Company Collections  
",Karen Falk; Craig Shemin,Jim Henson Company Collections  ,,,,,,,Museum of the Moving Image,,,,
53,53,,,,IBM Rowlf Films (Various Dates 1966-1970),,,,1966-1970,,6 min,MOV; color; sound,,Jim Henson,Jim Henson,,,,,,,,,,,,,,,,,,,Orphan Film Symposium 2024: Work and Play,"Work Is Play: Rarities from The Jim Henson Legacy & Jim Henson Company Collections  
",Karen Falk; Craig Shemin,Jim Henson Company Collections  ,,,,,,,Museum of the Moving Image,,,,
54,54,,,,Ideal Toys Muppet Plush Spot,,,,1966,,1 min,MOV; color; sound,,Jim Henson,Jim Henson,,,,,,,,,,,,,,,,,,,Orphan Film Symposium 2024: Work and Play,"Work Is Play: Rarities from The Jim Henson Legacy & Jim Henson Company Collections  
",Karen Falk; Craig Shemin,Jim Henson Company Collections  ,,,,,,,Museum of the Moving Image,,,,
55,55,,,,Topper Toy Factory Home Movie,,,,1971-11-09,,1 min,MOV; color; sound,,,Jim Henson,,,,,,,,,,,,,,,,,,,Orphan Film Symposium 2024: Work and Play,"Work Is Play: Rarities from The Jim Henson Legacy & Jim Henson Company Collections  
",Karen Falk; Craig Shemin,Jim Henson Company Collections  ,,,,,,,Museum of the Moving Image,,,,
56,56,,,,Wheels That Go,,,,1967,,1 min,color; sound,,,Jim Henson,,,Brian Henson,,,,,Raymond Scott,,,,,,,,,,,Orphan Film Symposium 2024: Work and Play,"Work Is Play: Rarities from The Jim Henson Legacy & Jim Henson Company Collections  
",Karen Falk; Craig Shemin,Jim Henson Company Collections  ,,,,,,,Museum of the Moving Image,,,,
57,57,,,,Television Academy Hall of Fame,,,,1987,,1 min,MOV; color; sound,,,Jim Henson,,,,,,,,,,,,,,,,,,,Orphan Film Symposium 2024: Work and Play,"Work Is Play: Rarities from The Jim Henson Legacy & Jim Henson Company Collections  
",Karen Falk; Craig Shemin,Jim Henson Company Collections  ,,,,,,,Museum of the Moving Image,,,,
58,58,,,,Symmetry,,,,1972,,3 min,16mm; color; silent,,James Browning,,,,,,,,,,,,,,,,,"Made as a project at Hanover High School (taught by Dale Rowe), the film was made with a Kodak Cine Special, filming off a Graphic-II vector 'scope (developed at Bell Labs in the late 1960s) attached to a Digital Equipment (DEC) PDP-9 mini-computer using Tri-X 16mm film. Browning generated the vector display files using DTSS (Dartmouth Time Sharing System) running on a General Electric 635 Mainframe Computer. He wrote the programs to make the files in Basic, which generated vector (line) files downloaded using an early 9600 baud modem to a PDP-9 mini-computer. He then wrote custom software (PDP- assembly language_ which displayed the vector files on the attached Graphic-II display. The apparent motion within the films comes from “playing” with the 14-inch display monitor with a blue/green phosphor. First the image is displayed with a fast blue-fluorescent phosphor, and then a persistent yellow phosphorescent phosphor continues to display it for several seconds. This makes for a trailing image as the lines are progressively displayed. The motion occurred simply because the display process was deliberately slowed down as the line segments were progressively displayed by the vector 'scope. Shooting on Tri-X, Browning made one print for each of the Red, Green, and Blue images. He sent the three synchronized reels to a printer with instructions to print through Kodak 25 (Red), Kodak 58 (Green) and Kodak 47B Wratten filters onto Ektachrome color reversal 16mm film. Two color prints were produced.",,"Alternative title: Kiewitt, Computer Animation 1",Orphan Film Symposium 2024: Work and Play,Artisanal Computer Animation,Jodie Mack,Dartmouth College,,,,,,,Museum of the Moving Image,,,,
59,59,,,,Symmetry outs,,,,1972,,3 min,16mm; color; silent,,James Browning,,,,,,,,,,,,,,,,,,,,Orphan Film Symposium 2024: Work and Play,Artisanal Computer Animation,Jodie Mack,Dartmouth College,,,,,,,Museum of the Moving Image,,,,
60,60,,,,Toying,,,,2024,,5 min,16mm; color; sound,,Danielle Ash,,,,,,,,,,,,,,,,,,,,Orphan Film Symposium 2024: Work and Play,,Danielle Ash,,,,,,,,Museum of the Moving Image,,,,
61,61,,,,You’re Not Listening ,,,,2020-2024,,21 min,MOV; color; sound; live performance,,Jeremy Rourke,,,,,,,,,,,,,,,,,,,"Jeremy Rourke (Helen Hill Award) performs his music (guitar, vocal) and “live cinema”
",Orphan Film Symposium 2024: Work and Play,Helen Hill Award,Jeremy Rourke,,,,,,,,Museum of the Moving Image,,,,
62,62,,,,Lyrics on the Paper,,,,2014-2024,,5 min,MOV; color; sound; live performance,,Jeremy Rourke,,,,,,,,,,,,,,,,,,,"Jeremy Rourke (Helen Hill Award) performs his music (guitar, vocal) and “live cinema”
",Orphan Film Symposium 2024: Work and Play,Helen Hill Award,Jeremy Rourke,,,,,,,,Museum of the Moving Image,,,,
63,63,,,,The Rain is a Friend of Mine: An Animated Homage to Helen Hill ,,,,2024,,6 min,MOV; color; sound; live performance,,Jeremy Rourke,,,,,,,,,,,,,,,,,,,"Jeremy Rourke (Helen Hill Award) performs his music (guitar, vocal) and “live cinema”
",Orphan Film Symposium 2024: Work and Play,Helen Hill Award,Jeremy Rourke,,,,,,,,Museum of the Moving Image,,,,
64,64,,,,Flower Tower,,,,2023,,12 min,MOV; color; sound; live performance,,Jeremy Rourke,,,,,,,,,,,,,,,,,,,"Jeremy Rourke (Helen Hill Award) performs his music (guitar, vocal) and “live cinema”
",Orphan Film Symposium 2024: Work and Play,Helen Hill Award,Jeremy Rourke,,,,,,,,Museum of the Moving Image,,,,
65,65,,,,Die psychologisch-pädagogische Führung des Kindes im Krankenhaus ,,The Psychological and Pedagogical Guidance of the Child in Hospital,,1976,,15 min (excerpt),"35mm; color; sound
",,Annemarie Stabrey,Günter Selle,"DEFA, Studio für Dokumentarfilme, Dept of Medical Film (Medizinfilm), Berlin;
Akademie Für Ärztliche Fortbildung der Deutschen Demokratischen Republik
",Annemarie Stabrey,,,Eleonore Burke,,,,Heinz Halle,,,Scientific advisor: Prof. dr. H. Patzer,,,"Charité - Universitätsmedizin Berlin, Historical Medical Films Collection",,,,Orphan Film Symposium 2024: Work and Play,"Making Children Work: Medical Films from East Germany. 
",Sophia Gräfe; Carolin Pommert ,"Humboldt-Universität zu Berlin; The Charité, Berlin",,,,,,,Museum of the Moving Image,,,,
66,66,,,,Zoo à delinquents ,,,,1975,,5 min (excerpt),,,Jean Marc Bringuier,,"Centre national pour l'Animation Audio Visuelle et CFDJ Films; Club d’expression du CFDJ under the direction Patrice Lebon
",,,Jean Marc Bringuier,André Gaultier,Corinne Boquie (piano); Philippe Elbaz (bongo); Partita by J. S. Bach,,"Georges Jennet; Jean Jacques Diel 
",,,,"“Sports” commentary: Georges Ranga; With the collaboration of all the young people, their educators, their dog, their psychiatrist, and the involuntary participation of a film crew",,,CNC,,,,Orphan Film Symposium 2024: Work and Play,"The Centre Familial De Jeunes de Vitry Films,",Katerina Kampoli,CNC,,,,,,,Museum of the Moving Image,,,,
67,67,,,,Et après ,,And Then,,1969,,11 min,16mm; b&w; sound,,Jean-Francis Fernandès,Jean-Francis Fernandès,"CFDJ, Vitry Film",,Patrice Lebon,,,D. Dupont; Club Electronique Vitry,,,Jean-Francis Fernandès,,,,,,CNC,,,,Orphan Film Symposium 2024: Work and Play,"The Centre Familial De Jeunes de Vitry Films,",Katerina Kampoli,CNC,,,,,,,Museum of the Moving Image,,,,
68,68,,,,Babel Circus,,,,1971,,9 min,16mm; color; b&w; sound,,Jean-Marc Bringuier,,"CFDJ, Vitry Film",,,Jean-Marc Bringuier,,,,,,,,,,,CNC,,,designed and produced with the assistance of Pierre Gurgand,Orphan Film Symposium 2024: Work and Play,"The Centre Familial De Jeunes de Vitry Films,",Katerina Kampoli,CNC,,,,,,,Museum of the Moving Image,,,,
69,69,,,,"Tegdaoust Archaeological site, Mauritania",,,,1970s,,,MOV; color; silent,,,,,,,Bernard Nantet,,,,,,,,,,,,,,,Orphan Film Symposium 2024: Work and Play,"Excavation Films of Bernard Nantet
",Annabelle Aventurin,,,,,,,,Museum of the Moving Image,,,,
70,70,,,,"Excavations films in Tichitt and Tegdaoust, Mauritania",,,,1973,,23 min,MOV; color; silent,,,,,,,Bernard Nantet,,,,,,,,,,,,,,,Orphan Film Symposium 2024: Work and Play,"Excavation Films of Bernard Nantet
",Annabelle Aventurin,,,,,,,,Museum of the Moving Image,,,,
71,71,,,,"Cualác, Cueva Ostocama",,,,1951,,14 min.,MOV; 16mm; color; silent,,,,,,,,,,,,César Lizardi Ramos,,,,,,Cineteca Nacional de México,"Footage of Emilia Florencia Jacobs Müller (on horseback), colleagues [César Lizardi?], and younger expedition workers; shots of cave drawings, glyphs, a stele, displays of codex pages, artifacts including a mask (resembling the drawing on the cover of Müller’s 1958 book El códice de Cualac).",,"Alternate title: from film can label [Doña Florencia Müller. . . Cuálac, Gro. [state of Guerrero], Cueva [cave] Oztocamac]",Orphan Film Symposium 2024: Work and Play,Florencia en Cualác ,Tania López Espinal; Mariana Hernández Blanca ,Cineteca Nacional de México; Salvamento Arqueológico Tren Maya,,,,,,,Museum of the Moving Image,,,,
72,72,,,,Saguenay,,,,1962,,18 min,MOV; 16mm; color; sound,,Christopher Chapman,,Crawley Films Canada,Judith Crawley,,,Christopher Chapman,Harry Somers,,,,,,Graphics: John Hall,,,Library and Archives Canada,,,Alternate release title: Chute des Passes,Orphan Film Symposium 2024: Work and Play,Crawley Films and the Work of Canadian Resource Extraction: ,Charles R. Acland; Laura Pannekoek,Concordia University,,,,,,,Museum of the Moving Image,,,,
73,73,,,,Searching,,,,1968,,17 min,MOV; 16mm; color; sound,,Seaton Findlay,,British Newfoundland Exploration Limited,,,,,Bruce Nyznik,, Bob Leclair,Robert Ennis,,Bud Knapp,"Sound Editing: Jim Williams; Mixing: David Cochrane
",,,Library and Archives Canada,,,"Sponsor: Brinex; Presented by British Newfoundland Exploration Limited
",Orphan Film Symposium 2024: Work and Play,Crawley Films and the Work of Canadian Resource Extraction: ,Charles R. Acland; Laura Pannekoek,Concordia University,,,,,,,Museum of the Moving Image,,,,
74,74,,BCdkIuC1DhY,,Huelga general,,,,1973,,15 min,16mm; color; b&w; silent,,Ferruccio Musitelli,,"SUNCA, Sindicato Único Nacional de la Construcción y Anexos (Union of Construction Workers, Uruguay)",,,,,,,,,,,,,,"Laboratorio de Preservación Audiovisual, Universidad de la República-Uruguay",,,,Orphan Film Symposium 2024: Work and Play,"Cine Amateurs at Work, in Latin America",,,,,,,,,Museum of the Moving Image,,,,
75,75,,,927217097,Gustavo Valle - video essay/teaser for Orphan Film Symposium 2024,,,,2024,,2 min,MOV; 1080; color; sound,,Libertad Gills,,,,,,,,,,,,,,,,,,,Titles in English; Spanish song lyrics,Orphan Film Symposium 2024: Work and Play,The Working-class Films of Guayaquil’s Gustavo Valle,Libertad Gills,"Università della Svizzera italiana; Universidad de las Artes, Ecuador",,,,,,,Museum of the Moving Image,,,,
76,76,,,,Un muñeco llamado Año viejo,,,,1979,,8 min,Super 8; color; silent,,Gustavo Valle ,,,,,,,,,,,,,,,,,,,"(A Doll called “Old Year,” after the New Year’s Eve tradition in Ecuador of burning dolls representing negative figures or things in the past year)",Orphan Film Symposium 2024: Work and Play,The Working-class Films of Guayaquil’s Gustavo Valle,Libertad Gills,"Università della Svizzera italiana; Universidad de las Artes, Ecuador",,,,,,,Museum of the Moving Image,,,,
77,77,,w3G7rhy8ni0,,El subamericano,,,,1976,,14 min,16mm; color; sound,,Gustavo Valle,,,,Marta Torres Salazar; Nelson Hoppe; Matilde de Rivas; Armando Delgado; Elba Abad,,Vicente Bowen,,,Martín Baus,Vicente Bowen,,,"Valuable assistance of Feria de juguettes “La Raspa,” Pastelería “Dina,” familia Cajamarca M., Dr. Francisco Macias, Jorge Chaucala",,,Guayaquil Analógico film collective ,,,,Orphan Film Symposium 2024: Work and Play,The Working-class Films of Guayaquil’s Gustavo Valle,Libertad Gills,"Università della Svizzera italiana; Universidad de las Artes, Ecuador",,,,,,,Museum of the Moving Image,,,,
78,78,,,,Nace una Plaza,,A Square Is Born,,1988,,9 min,16mm; b&w; silent,,Miguel Secades; Miguel García,,Cineclub Cubanacan,Luis Garcia,,,,Alberto Anido,,,,,,"Felix Perez Rodriguez
",Daniel Angeles,,,"Collaboration: Division de la DAAFAR, Base Aerea de Santa Clara, chief pilot Manuel Garcia,",,Original audio missing,Orphan Film Symposium 2024: Work and Play,Los subterráneos Cuba.,Lucía Malandro,Archivistas Salvajes; Elías Querejeta Zine Eskola,,,,,,,Museum of the Moving Image,,,,
79,79,,,,Parrandas de Camajuaní,,,,1988,,10 min,,,Miguel Secades; Miguel García,,Cineclub Cubanacan,,,,,Ray Machado,,,,,Rafael Martinez,,Daniel Angeles,,,,,,Orphan Film Symposium 2024: Work and Play,Los subterráneos Cuba.,Lucía Malandro,Archivistas Salvajes; Elías Querejeta Zine Eskola,,,,,,,Museum of the Moving Image,,,,
80,80,,,,"1934 Tour of Japan - Hawaii, ship ",,,,1934,,20 min,MOV; b&w; silent,,,,,,,,,,,,,,,,,,NBHOFM Recorded Media Archives,,,,Orphan Film Symposium 2024: Work and Play,A Lost-and-Found Story From Cooperstown: Jimmie Foxx Home Movies,Roger C. Lansing; Caleb Simonds,National Baseball Hall of Fame and Museum,,,,,,,Museum of the Moving Image,,,,
81,81,,,,Startex: Men and Women at Work and at Play ,,,,1938,,12 min,16mm; b&w; silent,,Walter S. Montgomery Sr.,,,,,,,,,,,,,,,,"University of South Carolina, Moving Image Research Collections",,,Filmed during 1938 and 1939 and possibly 1944. https://digital.tcl.sc.edu/digital/collection/scfilms/id/67/rec/3,Orphan Film Symposium 2024: Work and Play,The Walter S. Montgomery Collection,Anthony Gonzalez; Kimberly O’Quinn,"New York University; University of South Carolina, Moving Image Research Collections",,,,,,,Museum of the Moving Image,,,,
82,82,,,,Spartan Mill as a Community,,,,1938,,60 min,16mm; color; silent,,Walter S. Montgomery Sr.,,,,,,,,,,,,,,,,"University of South Carolina, Moving Image Research Collections",,,https://digital.tcl.sc.edu/digital/collection/scfilms/id/68/rec/4,Orphan Film Symposium 2024: Work and Play,The Walter S. Montgomery Collection,Anthony Gonzalez; Kimberly O’Quinn,"New York University; University of South Carolina, Moving Image Research Collections",,,,,,,Museum of the Moving Image,,,,
83,83,,,,Chicago All Stars Vs Detroit and Washington DC at Grant Park ,,,,1939,,11 min,"MOV; 16mm; color; silent
",,,,,,,,,,,,,,,,,,University of Chicago,,,,Orphan Film Symposium 2024: Work and Play,The Estrella Alamar Audiovisual Collection.,Ashley Dequilla,Filipino American Historical Society of Chicago,,,,,,,Museum of the Moving Image,,,,
84,84,,,,Little Farmers ,,,,1936,,15 min,"MOV; 16mm; b&w; sound
",,Nicholas Viernes,,,,,,,Les Talusan (2024),,,,,,,,,University of Chicago,"Special thanks to the Chicago Film Society, South Side Home Movies Project. Dedicated to Pearl Alamar Snoddy, From the Filipino American Historical Society of Chicago

",,,Orphan Film Symposium 2024: Work and Play,The Estrella Alamar Audiovisual Collection.,Ashley Dequilla,Filipino American Historical Society of Chicago,,,,,,,Museum of the Moving Image,,,,
85,85,,,,East Bay Skateboarders,,,,1965,,12 min,MOV; 8mm; color; silent,,,,,,,,,,,,,,,,,,Dead Media Hour Archives,,,,Orphan Film Symposium 2024: Work and Play,"East Bay Skateboarders, 1965 Home Movies ",Stephen Slappe,Dead Media Hour,,,,,,,Museum of the Moving Image,,,,
86,86,,,,Fish Market ,,,,1955,,19 min,"16mm; b&w; sound
",,Leroy Stone,,,,,Michael Eisler,Michael Eisler,,,,,,Alexander Scourby,,,,,,,,Orphan Film Symposium 2024: Work and Play,A Piscatorial Symphony,Tanya Goldman; Elena Rossi-Snook ,Hunter College; New York Public Library,,,,,,,Museum of the Moving Image,,,,
87,87,,,,The Vanguard Tapes (excerpts),,,,2024,,20 min,"MOV; color; sound.
",,Bill Morrison,,,,,,,,,,,,,,,,,,,Note: Originally in Hi8 video format,Orphan Film Symposium 2024: Work and Play,,Bill Morrison,Hypnotic Pictures,,,,,,,Museum of the Moving Image,,,,
88,88,,,,Earliest recorded interview with Faith Ringgold,,,,1972,,28 min,MP4; Videotape (portapak); b&w; sound,,John Wise,,Nafasi,,,,,,,,,,,,,,,,,,Orphan Film Symposium 2024: Work and Play,,"Hayley O’Malley; Monica Freeman; Louise Fleming  
",The University of Iowa,,,,,,,Museum of the Moving Image,,,,
89,89,,,,"Valerie: A Woman, An Artist, A Philosophy of Life",,,,1975,,16 min,MP4; 16mm; color; sound,,Monica Freeman,,Nafasi,,Valerie Maynard,John Wise,Monica Freeman,Stanley Cowell,,"Bahati A. Best; Monica Freeman
",Bahati A. Best,,,"Lighting: Ronald Gray, Bahati A. Best",,,,,,,Orphan Film Symposium 2024: Work and Play,,"Hayley O’Malley; Monica Freeman; Louise Fleming  
",The University of Iowa,,,,,,,Museum of the Moving Image,,,,
90,90,,,,Just Briefly,,,,1975,,19 min,MP4; 16mm; b&w; sound,,"Louise Fleming,",,,Louise Fleming,Kellie Williams; Will Rose,,Louise Fleming,Plunky Nkabinde (Ju Ju),,Edward Gray; Jerry Feldman,Collis Davis; Jerry Feldman; Janet Myers,,,Titles: Collis Davis,,,,,,,Orphan Film Symposium 2024: Work and Play,,"Hayley O’Malley; Monica Freeman; Louise Fleming  
",The University of Iowa,,,,,,,Museum of the Moving Image,,,,
91,91,,,,Spin Cycle,,,,1991,,6 min,MP4; 16mm; color; sound,,Aarin Burch,,,Aarin Burch,"Aarin Burch; Daria McKnight; Robert Henry Johnson; Jackie Rivera
",,Aarin Burch,,,"Donald Fontowitz (Drum Piece); Saffron Obois (Saxophone)
",Larry Kless; Dave Wagstaff; Jackie Rivera; Aarin Burch,,,,,,,,,"Special thanks: Barbara Hammer, Lyn Kirby, Tala Russell",Orphan Film Symposium 2024: Work and Play,,"Hayley O’Malley; Monica Freeman; Louise Fleming  
",The University of Iowa,,,,,,,Museum of the Moving Image,,,,
92,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orphan Film Symposium 2024: Work and Play,"Women Workers in French Automobile Factory Films, 1914–1925",Aurore Spiers,University of Chicago,,,,,,,Museum of the Moving Image,,,,
93,93,,,,The People's Holiday (United May Day Committee),,,,1947,,11 min,16mm; b&w; sound,,,,,,,,,,,,,,,,,,Jacob Perlin collection,,,,Orphan Film Symposium 2024: Work and Play,CPUSA Films Found in the UK,Jacob Perlin,Film Desk; Cinema Conservancy,,,,,,,Museum of the Moving Image,,,,
94,94,,,,What’s Happening in Harlem?,,,,1949,,12 min,16mm; b&w; sound,,Richard Frank [pseudonym for Francis Franklin],,Ben Davis Election Campaign Committee,,,,,,,,,,,,,,Jacob Perlin collection,"Produced by the Communist Party USA. Directed by Richard Frank and created with the assistance of people in the Harlem community.” Richard Frank was a pseudonym for Communist Party member Francis Franklin. His papers too are part of Tamiment Library. He wrote for communist and socialist publications and was expelled from the party in October 1949, also the time that What’s Happening in Harlem? was made",,,Orphan Film Symposium 2024: Work and Play,,,,,,,,,,Museum of the Moving Image,,,,
95,95,,,,The Sentner Story,,,,1953,,15 min,16mm; b&w; sound,,,Carl Marzani ,"UE District 8 [United Electrical, Radio and Machine Workers; Midwest district]",,"Don Harris (president UE District Council 8); William Senter; Antonia (Toni) Sentner and their children William Jr. and Susan; Antonia’s parents (Louis Radosevich, Mary Milosevic Radosevich), brothers (Marion and Emil Radosevich), and sister (Jennie)",,,,,,,,,,,,"Carl Aldo Marzani Films Collection; Tamiment Library/Robert F. Wagner Labor Archives, Bobst Library, New York University.",,,,Orphan Film Symposium 2024: Work and Play,,Rosemary Feurer; Charles Musser,Northern Illinois University; Yale University,,,,,,,Museum of the Moving Image,,,,
96,96,,,,Noi la cinci ani,,"Us, Aged Five",,1955,,13 min.,35mm; b&w; sound,,,,Alexandru Sahia documentary studio,,Alexandru Boiangiu; Mirel Iliesiu [Marcu Iosipovici]; Marion Ciobanu; Paula Wallemberg-Segall; Doru Segall; Iancu Moscu; Mircea Saucan; Nina Behar; Ada Pistiner; Copel Moscu; Paul Rabinovici; Silvia Armasu; Virgil Calotescu (as the Party Secretary); Aristid Moldovan (as the Director),,,,,,,,,,,,National Film Archive - Romanian Cinematheque,,,,Orphan Film Symposium 2024: Work and Play,A Film Studio in Bucharest Celebrates Its Fifth Anniversary.,Adina Brădeanu,University of Oxford,,,,,,,Museum of the Moving Image,,,,
97,97,,,,Fragments from Yevgeny Yufit,,,,1960s,,20 mins,MP4; 8mm; b&w; silent,,,,,,,,,,,,,,,,,,Austrian Film Museum,Fragments from [Yevgeny Yufit and family in summer at Lake Seliger 1]; Fragments from [Yevgeny Yufit and family in summer at Lake Seliger 2]; Fragments from [Yevgeny Yufit and family in summer at Lake Seliger 3]; Fragments from [Yevgeny Yufit and other kids outside of social housing at the outskirts of Leningrad]; Fragments from [Yevgeny Yufit and friends filming outside of the city]; Fragments from [Yevgeny Yufit and friends filming at Leningrad Park and beach at Petropavlovskaya Fortress],,,Orphan Film Symposium 2024: Work and Play,The Archive of Necrorealist Evgeny Yufit ,Masha Godovannaya,,,,,,,,Museum of the Moving Image,,,,
98,98,,,,One in Seven: True Confessions of a Gay Fleshpounder,,,,1988,,15 min,,,John Canalli,,Access A/V Productions,John Canalli,"John Canalli; John Sugar; Pierre Nadeau; Hooter; Nick Moll; Thomas A. Boyer
",,John Canalli,,,,John Canalli; Anthony Roldan; Marc Lorenzen; Susan Mazur,,,,,,UCLA Film and Television Archive,,,Dedicated to David Stuart. Thanks to David Karp,Orphan Film Symposium 2024: Work and Play,,Todd Wiener,UCLA,,,,,,,Museum of the Moving Image,,,,
99,99,,,,Vibrabath advertising film,,,,1957,,3 min.,MOV; 16mm; b&w; silent,,Hal Schwartz,,,,,,,,,,,,,Scan by Scan2Screen (2024),,,Mill Valley Public Library,,,,Orphan Film Symposium 2024: Work and Play,Beyond Invention,Natalie Snoyman ,Mill Va​​lley Public Library,,,,,,,Museum of the Moving Image,,,,
100,100,,,,"Laugh, Clown, Laugh",,,,1928,,3 min,MOV; 16mm; b&w; sound,,,,De Vry-Cinetone Pictures; The De Very Corporation,,,,,Cooper Lawley,,,,,,,,,Dino Everett,"Sound:“Laugh, Clown, Laugh” sung by Cooper Lawley, Victor 21390-A (1928)",,,Orphan Film Symposium 2024: Work and Play,"Drawing Room Talkies: DeVry Cine-Tone Films, 1928-1929 
",Shane Fleming,,,,,,,,Museum of the Moving Image,,,,
101,101,,,,The Gay Caballero,,,,1928,,3 min,MOV; 16mm; b&w; sound,,,,De Vry-Cinetone Pictures; The De Very Corporation,,,,,Frank Crumit,,,,,,,,,Shane Fleming,"Sound: “A Gay Caballero” sung by Frank Crumit, Victor 21735-A (1928)",,,Orphan Film Symposium 2024: Work and Play,"Drawing Room Talkies: DeVry Cine-Tone Films, 1928-1929 
",Shane Fleming,,,,,,,,Museum of the Moving Image,,,,
102,102,,,,Neapolitan Nights,,,,1929,,3 min,MOV; 16mm; b&w; sound,,,,De Vry-Cinetone Pictures; The De Very Corporation,,,,,The Troubadours,,,,,,,,,Shane Fleming,Sound: “Neapolitan Nights” (Oh Night of Splendour) (Theme song of the motion pictue “Fazil”) The Troubadours (1928) Victor 21633-B,,,Orphan Film Symposium 2024: Work and Play,"Drawing Room Talkies: DeVry Cine-Tone Films, 1928-1929 
",Shane Fleming,,,,,,,,Museum of the Moving Image,,,,
103,103,,,,Ah! Sweet Mystery of Life,,,,1929,,3 min,MOV; 16mm; b&w; sound,,,,De Vry-Cinetone Pictures; The De Very Corporation,,,,,Richard Crooks ,,,,,,,,,,"Sound: “Ah! Sweet Mystery of Life” (The Dream Melody), from Naughty Marietta, sung by Richard Crooks (1928) Victor 1343-A (and others)  ",,,Orphan Film Symposium 2024: Work and Play,"Drawing Room Talkies: DeVry Cine-Tone Films, 1928-1929 
",Shane Fleming,,,,,,,,Museum of the Moving Image,,,,
